FP;3.1,2.1,2.9,3.9,3.5,2.8,3.2
FFT;3.6,3.10,2.5
FS;2.1,3.1,3.2
CA;2.3,2.7,2.1,2.9,-1.1,3.5,3.1,2.2
ALEM;2.3,2.7,2.1,2.9,-1.1,3.5,3.1
LMD;2.1,2.2
ES:2.1,2.2
TOC;3.8
MP;3.1,2.2
EC;2.3,3.7,2.9,2.4,
ED;2.2,3.1,3.2,3.9,3.3,2.4,3.3,2.9
SO;2.2,2.3,3.2,2.1,2.7,3.3
SCD;2.4,2.2,2.6,2.3,2.7
PDOO;2.4,3.1,3.2,2.6
ALG;3.7,2.6,1.2,1.1,1.3,3.5
IA;2.7,
FBD;2.6,3.7,2.2,
FIS;2.7,3.7,3.5,2.3,2.6
AC;3.7,2.3,2.4,2.9,2.1
DDSI;3.3,2.4,3.2,3.5
ISE;2.4,2.3
FR;3.7
MC;3.2,0.1,2.6,2.2
IG;3.5,2.4,2.7,3.3,2.3
AS;3.9
ACAP;2.9
DSE;3.10
SMP;3.1
DHD;2.2
SG;3.2;3.3,2.7
SIBW;2.3,3.2
DS;2.3,3.2
DIU;3.2,3.3
DSD;2.1,2.4,3.5
MH;3.2,3.3
IC;3.2,2.8
AA;3.3,-1.1
MCA;3.6,2.8,3.2
TSI;3.3,2.7
TDRC;3.4
SWAP;2.2,2.3
TW;2.3,2.2
SMM;2.4,2.3,2.7
CUIA;2.4
SIE;2.3,2.4
PW;2.4
SMD;3.5,2.2
ISI;3.3,3.5
ABD;3.5,-1.1
SE;-1.1
TR;3.4
CPD;3.5
IAH;2.2
TE;2.6
II;3.9
CLP;3.9
CII;3.9
MEI;1.1,3.10
EISI;2.2
CEGE;1.1
DI;1.1
MDA;-1.1,3.3
DBA;2.7,3.2
DGP;2.9,3.3
PGV;2.3
SSO;3.2
LP;3.2
AO;2.2
PPR;2.3
NTP;2.4
PL;2.9,2.7
NPI;2.6
PTC;2.6
SS;3.5
VC;3.2
RI;3.11,2.3
CRIP;2.4
PLD;2.3
IN;3.3,3.2
BDD;3.1
RI;2.7,3.1
SIG;3.3
GRD;3.3
RSC;3.3
SCGC;2.9
PDIH;2.6
DAI;2.4,3.4,2.8
IV;-1.2,2.3
SPSI;2.6,3.3
TID;3.3
CRIM;2.4
PDM;3.5
PDS;3.3
RMS;3.4